"purchase","nTab","moCbook","iRecMer1","propSpec","recW4","moShoe","nWoApp","nMen","llDol"
0,0,50,0.2506587615,1,50,50,8,0,-2.302585093
0,32,20.137976347,0.5393338058,0.3507398402,50,0.8541392904,191,0,6.3206603748
0,2,50,0.0196078431,0,50,50,0,0,-2.302585093
0,0,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,0,50,0.0196078431,0,50,50,0,0,-2.302585093
0,0,50,0.0196078431,1,50,50,0,0,-2.302585093
0,0,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,5,50,0.073626161,0,12.582128778,18.495400788,4,1,-2.302585093
0,2,10.446780552,0.0196078431,0,50,29.533508541,0,0,-2.302585093
0,0,50,0.0229313566,0.68,50,50,1,0,-2.302585093
0,0,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,0,50,0.0247391177,0.68,50,50,1,0,-2.302585093
0,0,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,0,50,0.0196078431,0,50,50,0,1,-2.302585093
0,1,50,0.0196078431,0,50,50,0,0,-2.302585093
1,2,28.777923784,0.0335819249,0,50,17.312746386,0,0,-2.302585093
0,0,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,0,50,0.021235629,0.68,50,50,1,0,-2.302585093
0,0,50,0.0196078431,0,50,50,0,0,-2.302585093
0,0,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,0,50,0.0545089893,0.68,50,12.713534823,1,0,-2.302585093
0,0,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,3,50,0.0196078431,0,50,50,0,0,-2.302585093
0,1,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,1,50,0.0196078431,0.68,50,50,0,0,-2.302585093
1,0,50,0.0196078431,0.68,50,50,0,0,-2.302585093
